timestamp,copilot_total,copilot_merged,codex_total,codex_merged,cursor_total,cursor_merged,devin_total,devin_merged,codegen_total,codegen_merged,copilot_nondraft,codex_nondraft,cursor_nondraft,devin_nondraft,codegen_nondraft
2025‑06‑05 09:01:17,12637,4427,129434,106061,296,214,27627,16825,0,0,5149,124390,271,25020,0
2025‑06‑05 12:01:13,12685,4450,132583,108609,325,243,27644,16845,0,0,5188,127498,299,25036,0
2025‑06‑05 15:01:08,12770,4510,136413,111692,332,245,27658,16856,0,0,5252,131119,306,25050,0
2025‑06‑05 19:34:27,12869,4567,142096,116376,343,254,27679,16869,0,0,5319,136740,317,25070,0
2025‑06‑05 19:56:50,12880,4571,142577,116754,345,255,27679,16870,0,0,5325,137223,319,25070,0
2025‑06‑05 20:03:49,12883,4573,142734,116894,345,255,27680,16870,0,0,5328,137368,319,25071,0
2025‑06‑05 20:14:36,12886,4573,142912,117029,345,255,27681,16873,0,0,5331,137570,319,25072,0
2025‑06‑05 21:00:58,12900,4585,143860,117767,351,259,27686,16875,0,0,5342,138473,325,25077,0
2025‑06‑06 00:02:01,12948,4605,147162,120471,388,289,27697,16882,0,0,5371,141403,360,25081,0
2025‑06‑06 03:21:44,12993,4631,149856,122901,405,302,27707,16890,0,0,5405,143949,374,25093,0
2025‑06‑06 06:01:09,13019,4645,151890,124619,411,306,27589,16774,0,0,5426,145818,381,25115,0
2025‑06‑06 09:01:17,12996,4627,154381,126720,415,313,27616,16793,0,0,5475,148010,387,25137,0
2025‑06‑06 12:01:16,13080,4678,157281,129172,423,318,27641,16799,0,0,5543,150585,394,25157,0
2025‑06‑06 15:01:01,13148,4735,160574,132038,436,326,27656,16818,0,0,5608,153604,406,25173,0
2025‑06‑06 18:00:59,13224,4781,164030,135074,441,329,27679,16837,0,0,5653,156782,418,25193,0
2025‑06‑06 18:46:45,13243,4788,165292,136192,445,333,27685,16841,0,0,5668,157556,421,25199,0
2025‑06‑06 18:50:47,13243,4788,165375,136268,445,333,27685,16843,0,0,5668,157620,421,25199,0
2025‑06‑06 21:00:59,13292,4817,167406,138043,450,334,27697,16851,0,0,5702,159752,427,25212,0
2025‑06‑07 00:02:10,13350,4861,170226,140491,520,345,27720,16861,0,0,5750,162449,496,25239,0
2025‑06‑07 03:20:20,13406,4886,172624,142523,526,381,27740,16875,0,0,5790,164793,501,25260,0
2025‑06‑07 06:00:56,13447,4919,174247,143894,540,390,27756,16881,0,0,5828,166384,515,25275,0
2025‑06‑07 09:00:55,13511,4957,175935,145320,550,401,27772,16888,0,0,5877,168271,526,25291,0
2025‑06‑07 12:01:01,13558,5006,178367,147424,559,411,27783,16898,0,0,5929,170303,536,25303,0
2025‑06‑07 15:01:06,13611,5046,181055,149777,566,413,27794,16906,0,0,5970,172926,545,25315,0
2025‑06‑07 18:00:57,13668,5086,183792,152091,592,439,27824,16932,0,0,6007,175881,571,25338,0
2025‑06‑07 21:01:01,13726,5120,186943,154860,602,449,27786,16894,0,0,6052,178806,582,25350,0
2025‑06‑08 00:02:05,13747,5147,189457,157017,626,477,27802,16903,0,0,6089,181436,605,25365,0
2025‑06‑08 03:26:57,13786,5182,191642,158863,632,482,27801,16901,0,0,6116,183744,610,25379,0
2025‑06‑08 06:01:04,13808,5198,193372,160278,644,488,27810,16908,0,0,6140,185464,620,25383,0
2025‑06‑08 09:01:01,13855,5231,195169,161814,648,491,27829,16917,0,0,6178,187432,625,25394,0
2025‑06‑08 12:01:02,13909,5282,197184,163613,653,500,27841,16930,0,0,6222,189467,637,25399,0
2025‑06‑08 15:00:57,13960,5330,199786,165861,668,508,27857,16946,0,0,6274,192322,653,25405,0
2025‑06‑08 18:00:54,14014,5372,202688,168437,678,518,27853,16943,0,0,6319,195223,662,25407,0
2025‑06‑08 21:01:08,14074,5417,205798,171172,699,537,27874,16959,0,0,6365,198043,670,25417,0
2025‑06‑09 00:01:58,14162,5489,207899,173018,704,543,27888,16967,0,0,6399,200639,674,25432,0
2025‑06‑09 00:52:28,14168,5500,208687,173807,704,544,27896,16973,3750,1378,6403,201307,674,25440,1556
2025‑06‑09 00:56:33,14168,5502,208718,173850,705,545,27896,16973,3750,1378,6403,201353,675,25440,1556
2025‑06‑09 03:25:53,14228,5558,210702,175554,712,548,27896,16968,3752,1379,6457,203161,681,25451,1557
2025‑06‑09 06:01:04,14274,5595,212250,176851,717,552,27910,16979,3754,1379,6496,204728,686,25460,1557
2025‑06‑09 09:01:12,14323,5632,214486,178755,727,556,27929,16992,3756,1380,6544,206728,695,25473,1558
2025‑06‑09 12:01:11,14326,5669,216838,180780,737,566,27944,17000,3767,1384,6585,209098,709,25482,1562
2025‑06‑09 14:38:49,14382,5708,219410,183024,745,573,27965,17014,3776,1390,6626,211757,715,25499,1568
2025‑06‑09 15:01:08,14392,5714,219792,183328,746,573,27969,17016,3778,1390,6634,212126,716,25502,1568
